Gene	Degree Centrality	Betweenness Centrality
SLC25A39	0.034483	0.000000
EREG	0.034483	0.000000
TP53BP1	0.034483	0.000000
SMARCC2	0.034483	0.000000
VAMP3	0.034483	0.000000
SLC4A1	0.034483	0.000000
KIF18B	0.000000	0.000000
CSF3R	0.000000	0.000000
ZNF280C	0.000000	0.000000
SLC2A10	0.000000	0.000000
NELL2	0.000000	0.000000
PDXK	0.000000	0.000000
C9orf40	0.000000	0.000000
MIA-RAB4B	0.000000	0.000000
RTN3	0.000000	0.000000
SH2D1B	0.000000	0.000000
CMTM5	0.000000	0.000000
ARPC5	0.000000	0.000000
DCTD	0.000000	0.000000
IGLL5	0.000000	0.000000
SLC40A1	0.000000	0.000000
UBAC1	0.000000	0.000000
ATP1B2	0.000000	0.000000
ZNF579	0.000000	0.000000
AGTRAP	0.000000	0.000000
CR1L	0.000000	0.000000
CRISP3	0.000000	0.000000
CD177	0.000000	0.000000
TNFSF12-TNFSF13	0.000000	0.000000
GP1BB	0.000000	0.000000

=== Hub Analysis ===
Top Hub Gene (Degree): SLC25A39 (Centrality: 0.034483)
Top Bottleneck Gene (Betweenness): KIF18B (Centrality: 0.000000)
