Gene	Degree Centrality	Betweenness Centrality
ACLY	0.000000	0.000000
ADAL	0.000000	0.000000
ADCY4	0.034483	0.000000
ARHGEF10	0.000000	0.000000
C1orf131	0.034483	0.000000
C2orf68	0.000000	0.000000
CD1D	0.000000	0.000000
CYB5R1	0.000000	0.000000
DDX18	0.068966	0.002463
DNAJC10	0.000000	0.000000
FERMT1	0.000000	0.000000
GNGT2	0.034483	0.000000
LIMA1	0.034483	0.000000
LRRC10B	0.000000	0.000000
MAP10	0.000000	0.000000
MORC4	0.000000	0.000000
NIFK	0.034483	0.000000
NYNRIN	0.034483	0.000000
POC1A	0.034483	0.000000
PPP2R1B	0.000000	0.000000
RAB40B	0.034483	0.000000
RIPK3	0.034483	0.000000
SEPHS1	0.000000	0.000000
SFXN1	0.000000	0.000000
SLC25A35	0.000000	0.000000
SNRNP25	0.000000	0.000000
SPA17	0.000000	0.000000
TEDC2	0.000000	0.000000
TMEM14A	0.000000	0.000000
TRAIP	0.034483	0.000000

=== Hub Analysis ===
Top Hub Gene (Degree): DDX18 (Centrality: 0.068966)
Top Bottleneck Gene (Betweenness): DDX18 (Centrality: 0.002463)
